# live display measurement log
# script=live-measurements-child.py
# timestamp=2026-04-30T17:36:25.791576+02:00
# record_interval_seconds=30.0
# spotread_timeout=15.0
sample_index,timestamp,elapsed_seconds,X,Y,Z,x,y,backlight_temp_c,als_absolute_nits,als_brightness_pct,delta_nits,delta_pct
90,2026-04-30T18:21:54.261775+02:00,2703.986,1136.038463,1126.595566,1463.861619,0.304854,0.302320,54.90,1226.217200,100,-99.621634,-8.124306
91,2026-04-30T18:22:24.265194+02:00,2733.990,1135.613182,1126.309424,1463.864412,0.304798,0.302301,54.90,1226.217200,100,-99.907776,-8.147641
92,2026-04-30T18:22:54.272626+02:00,2763.997,1135.222340,1125.945226,1463.515137,0.304784,0.302293,54.90,1226.217200,100,-100.271974,-8.177342
93,2026-04-30T18:23:24.281706+02:00,2794.006,1135.330316,1125.870113,1463.510233,0.304810,0.302270,55.00,1226.217200,100,-100.347087,-8.183468
94,2026-04-30T18:23:54.289551+02:00,2824.014,1135.152563,1125.799770,1463.512798,0.304783,0.302272,55.10,1226.217200,100,-100.417430,-8.189204
95,2026-04-30T18:24:24.295555+02:00,2854.020,1134.976242,1125.507387,1463.334539,0.304788,0.302246,55.10,1226.217200,100,-100.709813,-8.213048
96,2026-04-30T18:24:54.299269+02:00,2884.024,1135.013010,1125.508858,1463.508120,0.304781,0.302229,55.10,1226.217200,100,-100.708342,-8.212929
97,2026-04-30T18:25:24.310829+02:00,2914.035,1134.694273,1125.369643,1463.686833,0.304718,0.302214,55.10,1226.217200,100,-100.847557,-8.224282
98,2026-04-30T18:25:54.313429+02:00,2944.038,1134.587728,1125.222715,1463.510913,0.304725,0.302209,55.10,1226.217200,100,-100.994485,-8.236264
99,2026-04-30T18:26:24.319298+02:00,2974.044,1134.589159,1125.000675,1463.330088,0.304758,0.302182,55.20,1226.217200,100,-101.216525,-8.254372
100,2026-04-30T18:26:54.327983+02:00,3004.052,1134.091772,1124.489550,1462.804894,0.304750,0.302170,55.30,1226.217200,100,-101.727650,-8.296055
101,2026-04-30T18:27:24.339248+02:00,3034.064,1134.163877,1124.714533,1463.332880,0.304702,0.302163,55.30,1226.217200,100,-101.502667,-8.277707
102,2026-04-30T18:27:54.349806+02:00,3064.074,1133.774467,1124.128295,1462.802781,0.304720,0.302128,55.30,1226.217200,100,-102.088905,-8.325516
103,2026-04-30T18:28:24.353642+02:00,3094.078,1133.846571,1124.353277,1463.330768,0.304672,0.302121,55.20,1226.217200,100,-101.863923,-8.307168
104,2026-04-30T18:28:54.358529+02:00,3124.083,1133.455730,1123.989080,1462.981494,0.304657,0.302113,55.30,1226.217200,100,-102.228120,-8.336869
105,2026-04-30T18:29:24.366911+02:00,3154.091,1133.670250,1124.060894,1463.152509,0.304678,0.302095,55.30,1226.217200,100,-102.156306,-8.331012
106,2026-04-30T18:29:54.377159+02:00,3184.102,1133.492498,1123.990551,1463.155075,0.304650,0.302096,55.30,1226.217200,100,-102.226649,-8.336749
107,2026-04-30T18:30:24.380981+02:00,3214.105,1133.385953,1123.843623,1462.979155,0.304657,0.302092,55.30,1226.217200,100,-102.373577,-8.348731
108,2026-04-30T18:30:54.390934+02:00,3244.115,1133.422721,1123.845095,1463.152736,0.304649,0.302075,55.20,1226.217200,100,-102.372105,-8.348611
109,2026-04-30T18:31:24.395484+02:00,3274.120,1133.599042,1124.137478,1463.330995,0.304644,0.302101,55.20,1226.217200,100,-102.079722,-8.324767
110,2026-04-30T18:31:54.410765+02:00,3304.135,1133.279408,1123.696696,1462.803235,0.304663,0.302087,55.10,1226.217200,100,-102.520504,-8.360713
111,2026-04-30T18:32:24.412983+02:00,3334.137,1133.422721,1123.845095,1463.152736,0.304649,0.302075,55.20,1226.217200,100,-102.372105,-8.348611
112,2026-04-30T18:32:54.419318+02:00,3364.144,1133.138424,1123.627824,1462.979382,0.304628,0.302071,55.20,1226.217200,100,-102.589376,-8.366330
113,2026-04-30T18:33:24.427646+02:00,3394.152,1133.422721,1123.845095,1463.152736,0.304649,0.302075,55.30,1226.217200,100,-102.372105,-8.348611
114,2026-04-30T18:33:54.433089+02:00,3424.158,1133.352944,1123.699639,1463.150397,0.304648,0.302053,55.30,1226.217200,100,-102.517561,-8.360473
115,2026-04-30T18:34:24.438996+02:00,3454.163,1133.246399,1123.552711,1462.974477,0.304655,0.302049,55.30,1226.217200,100,-102.664489,-8.372455
116,2026-04-30T18:34:54.447647+02:00,3484.172,1133.068647,1123.482368,1462.977043,0.304627,0.302050,55.30,1226.217200,100,-102.734832,-8.378192
117,2026-04-30T18:35:24.451342+02:00,3514.176,1132.998870,1123.336912,1462.974704,0.304626,0.302028,55.30,1226.217200,100,-102.880288,-8.390054
118,2026-04-30T18:35:54.459917+02:00,3544.184,1132.962102,1123.335441,1462.801123,0.304634,0.302045,55.20,1226.217200,100,-102.881759,-8.390174
119,2026-04-30T18:36:24.463891+02:00,3574.188,1133.034207,1123.560424,1463.329110,0.304585,0.302039,55.30,1226.217200,100,-102.656776,-8.371826
120,2026-04-30T18:36:54.470704+02:00,3604.195,1132.606597,1123.194755,1462.806254,0.304578,0.302047,55.30,1226.217200,100,-103.022445,-8.401647
121,2026-04-30T18:37:24.477555+02:00,3634.202,1132.857886,1123.268040,1463.150851,0.304591,0.302012,55.30,1226.217200,100,-102.949160,-8.395671
122,2026-04-30T18:37:54.482391+02:00,3664.207,1132.536821,1123.049298,1462.803915,0.304577,0.302026,55.30,1226.217200,100,-103.167902,-8.413510
123,2026-04-30T18:38:24.488351+02:00,3694.213,1132.751341,1123.121113,1462.974931,0.304597,0.302008,55.30,1226.217200,100,-103.096087,-8.407653
124,2026-04-30T18:38:54.494073+02:00,3724.219,1132.681564,1122.975657,1462.972592,0.304596,0.301986,55.30,1226.217200,100,-103.241543,-8.419515
125,2026-04-30T18:39:24.510775+02:00,3754.235,1132.503812,1122.905314,1462.975157,0.304569,0.301987,55.30,1226.217200,100,-103.311886,-8.425252
126,2026-04-30T18:39:54.512883+02:00,3784.237,1132.610356,1123.052241,1463.151077,0.304562,0.301992,55.30,1226.217200,100,-103.164959,-8.413270
127,2026-04-30T18:40:29.515334+02:00,3819.240,1132.434035,1122.759857,1462.972818,0.304568,0.301966,55.30,1226.217200,100,-103.457343,-8.437114
128,2026-04-30T18:40:59.519076+02:00,3849.244,1132.149738,1122.542587,1462.799464,0.304547,0.301962,55.30,1226.217200,100,-103.674613,-8.454833
